Restro Link,Image Link,Offer,Name,Food Type,Address
https://www.swiggy.com/restaurants/go-zero-guilt-free-ice-creams-n-t-marg-indore-714096,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/86131fdc69b88d44a15c1158496c3c08",60% OFF UPTO ₹120,Go Zero - Guilt Free Ice Creams,"Ice Cream, Desserts",N.T. Marg
https://www.swiggy.com/restaurants/apni-rasoi-mahaveer-gate-sudama-nagar-indore-73770,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/scqan0cn53yoblc0v5vz",,Apni Rasoi,"North Indian, Chinese",Sudama Nagar
https://www.swiggy.com/restaurants/igp-cakes-dhaba-junction-rau-and-rajendra-nagar-indore-662309,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/cc84d172c8acb034e61ffaeb2d2557e3",₹125 OFF ABOVE ₹249,IGP Cakes,"Desserts, Bakery",Rau & Rajendra Nagar
https://www.swiggy.com/restaurants/bake-ur-day-vyanktesh-market-bhawar-kuan-indore-416280,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/bazqrdubztoau4gwyoov",₹125 OFF ABOVE ₹249,Bake Ur Day,Bakery,Bhawar Kuan
https://www.swiggy.com/restaurants/cake-studio-manik-bagh-road-indore-417381,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/f5577q8gd5klwfrxwbfa",₹125 OFF ABOVE ₹249,Cake Studio,Bakery,Manik Bagh Road
https://www.swiggy.com/restaurants/cakewala-manik-bagh-road-palsikar-colony-indore-141515,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/s1vejyhzcfickblwbotm",60% OFF UPTO ₹120,Cakewala,"Bakery, Desserts",Palsikar Colony
https://www.swiggy.com/restaurants/tinkus-tejpur-rau-and-rajendra-nagar-indore-730572,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/c32d65d5fb9f32ad21872074fc8716f0",,Tinku's,"Fast Food, Beverages, Chinese, Ice Cream",Rau & Rajendra Nagar
https://www.swiggy.com/restaurants/cake-world-manik-bagh-road-bhawar-kuan-indore-138157,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ewlkwcwdsv7okdbqttdg",₹125 OFF ABOVE ₹199,Cake World,"North Indian, Bakery",Bhawar Kuan
https://www.swiggy.com/restaurants/chai-sutta-bar-naredra-sudama-nagar-indore-684979,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/e40e9fc6162274b3e8ab2f4a36459332",,Chai Sutta Bar,"Beverages, Burgers, Fast Food, Pizzas, Snacks",Sudama Nagar
https://www.swiggy.com/restaurants/sanjha-chulha-mangal-nagar-bhawar-kuan-indore-733679,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/f5b45bda1eda6f4b6aedc1d0f7f84138",60% OFF UPTO ₹120,Sanjha Chulha,"North Indian, Chinese, Mughlai",Bhawar Kuan
https://www.swiggy.com/restaurants/bapu-ki-kutia-sneh-nagar-main-road-bhawar-kuan-indore-598066,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ql5t5wthbuiennob3y4e",,Bapu Ki Kutia,"North Indian, Chinese, Biryani, Snacks",Bhawar Kuan
https://www.swiggy.com/restaurants/pizza-hut-sudama-nagar-indore-372899,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/2b4f62d606d1b2bfba9ba9e5386fabb7",60% OFF UPTO ₹120,Pizza Hut,Pizzas,Sudama Nagar
https://www.swiggy.com/restaurants/gourmet-ice-cream-cakes-by-baskin-robbins-shiv-square-gram-tejpur-gadbadi-pulia-indore-450113,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/d679c532ca07a6f3fd6d89d603861412",20% OFF UPTO ₹50,Gourmet Ice Cream Cakes by Baskin Robbins,"Ice Cream Cakes, Desserts, Ice Cream, Bakery",Gram Tejpur Gadbadi Pulia
https://www.swiggy.com/restaurants/bakers-lounge-panchshil-nagar-sapna-sangeeta-indore-77978,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/g5rixteqauahf8bbikek",,Baker's Lounge,"Snacks, Desserts",Sapna Sangeeta
https://www.swiggy.com/restaurants/martinoz-pizza-professor-colony-bhawar-kuan-indore-735089,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/9a696c01db509e4b6fbb28fea36e042d",,Martino'z Pizza,Pizzas,Bhawar Kuan
https://www.swiggy.com/restaurants/dominos-pizza-palsikar-colony-manikbagh-road-indore-593679,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/skcdylkwcqgspbjw28dg",₹150 OFF ABOVE ₹999,Domino's Pizza,"Pizzas, Italian, Pastas, Desserts",Manikbagh Road
https://www.swiggy.com/restaurants/natural-ice-cream-usha-nagar-ranjeet-hanuman-indore-697214,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/d940666c8d2376a8d89661d09a1497f5",,Natural Ice Cream,"Ice Cream, Desserts",Ranjeet Hanuman
https://www.swiggy.com/restaurants/ibaco-ranjit-hanuman-road-sudama-nagar-indore-669093,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/a75b9873d2809fc9c3df51c5c24b11f2",,IBACO,"Ice Cream, Desserts",Sudama Nagar
https://www.swiggy.com/restaurants/burger-farm-veda-complex-bhawar-kuan-indore-667764,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/5cba4ff16c5feda03a4c1d780831cd7c",50% OFF UPTO ₹100,Burger Farm,"Burgers, Beverages, Snacks, Desserts",Bhawar Kuan
https://www.swiggy.com/restaurants/gurukripa-restaurant-sarwate-sarwate-south-tukoganj-indore-84070,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/g5txnz35wlrgbskk3r8y",₹125 OFF ABOVE ₹199,Gurukripa Restaurant - Sarwate,"North Indian, Thalis, Indian, Fast Food, Chinese, Beverages, Desserts, Jain, Punjabi",South Tukoganj
https://www.swiggy.com/restaurants/shree-gurukripa-vijay-nagar-indore-86648,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/cb1h7bmdd9hsbxvlix8f",₹125 OFF ABOVE ₹199,Shree Gurukripa,"North Indian, Thalis, South Indian, Desserts, Chinese, Indian, Jain, Fast Food, Beverages",Vijay Nagar
https://www.swiggy.com/restaurants/gurukripa-southtukoganj-dutt-shanti-mandapum-south-tukoganj-indore-103357,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/wbhvshhcwdzvrvuxfpsq",₹125 OFF ABOVE ₹199,Gurukripa Southtukoganj (Dutt),"North Indian, South Indian, Chinese, Snacks, Thalis, Desserts, Punjabi, Beverages, Indian, Jain",South Tukoganj
https://www.swiggy.com/restaurants/wow-momo-narmada-chamber-sangeeta-road-indore-679716,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/0984acc0ed7b914206dbbcb90297becc",,Wow! Momo,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",Sangeeta Road
https://www.swiggy.com/restaurants/johny-hot-dog-56-dukan-56-dukan-new-palasia-indore-247842,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/n4inopqkfmhwkm436jij",,Johny Hot Dog-56 dukan,Fast Food,New Palasia
